"postcode","buurt_naam","buurt_vollcode"
"",Kortvoort,T94d
"1011AB",Oosterdokseiland,A04a
"1011AC",Oosterdokseiland,A04a
"1011AD",Oosterdokseiland,A04a
"1011AE",Oosterdokseiland,A04a
"1011AG",Lastage,A04d
"1011AH",Lastage,A04d
"1011AJ",Lastage,A04d
"1011AK",Scheepvaarthuisbuurt,A04b
"1011AL",Waterloopleinbuurt,A04i
"1011AM",Scheepvaarthuisbuurt,A04b
"1011AN",Scheepvaarthuisbuurt,A04b
"1011AP",Scheepvaarthuisbuurt,A04b
"1011AR",Scheepvaarthuisbuurt,A04b
"1011AS",Scheepvaarthuisbuurt,A04b
"1011AT",Scheepvaarthuisbuurt,A04b
"1011AV",Scheepvaarthuisbuurt,A04b
"1011AW",Scheepvaarthuisbuurt,A04b
"1011AX",Scheepvaarthuisbuurt,A04b
"1011AZ",Scheepvaarthuisbuurt,A04b
"1011BA",Scheepvaarthuisbuurt,A04b
"1011BB",Scheepvaarthuisbuurt,A04b
"1011BC",Scheepvaarthuisbuurt,A04b
"1011BD",Scheepvaarthuisbuurt,A04b
"1011BG",Scheepvaarthuisbuurt,A04b
"1011BH",Scheepvaarthuisbuurt,A04b
"1011BJ",Scheepvaarthuisbuurt,A04b
"1011BK",Scheepvaarthuisbuurt,A04b
"1011BL",Scheepvaarthuisbuurt,A04b
"1011BM",Scheepvaarthuisbuurt,A04b
"1011BN",Scheepvaarthuisbuurt,A04b
"1011BP",Scheepvaarthuisbuurt,A04b
"1011BR",Scheepvaarthuisbuurt,A04b
"1011BS",Lastage,A04d
"1011BT",Lastage,A04d
"1011BV",Lastage,A04d
"1011BW",Lastage,A04d
"1011BX",Lastage,A04d
"1011BZ",Lastage,A04d
"1011CA",Lastage,A04d
"1011CB",Lastage,A04d
"1011CC",Lastage,A04d
"1011CD",Lastage,A04d
"1011CE",Lastage,A04d
"1011CH",Lastage,A04d
"1011CJ",Lastage,A04d
"1011CK",Lastage,A04d
"1011CL",Lastage,A04d
"1011CM",Lastage,A04d
"1011CN",Lastage,A04d
"1011CP",Lastage,A04d
"1011CR",Lastage,A04d
"1011CS",Lastage,A04d
"1011CT",Lastage,A04d
"1011CV",Lastage,A04d
"1011CW",Lastage,A04d
"1011CX",Lastage,A04d
"1011CZ",Lastage,A04d
"1011DB",Lastage,A04d
"1011DC",Nieuwmarkt,A04e
"1011DD",Oosterdokseiland,A04a
"1011DG",Oosterdokseiland,A04a
"1011DH",Oosterdokseiland,A04a
"1011DJ",Oosterdokseiland,A04a
"1011DK",Oosterdokseiland,A04a
"1011DL",Oosterdokseiland,A04a
"1011DZ",Nieuwmarkt,A04e
"1011EA",Nieuwmarkt,A04e
"1011EB",Nieuwmarkt,A04e
"1011EC",Nieuwmarkt,A04e
"1011ED",Nieuwmarkt,A04e
"1011EE",Lastage,A04d
"1011EG",Lastage,A04d
"1011EH",Lastage,A04d
"1011EJ",Lastage,A04d
"1011EK",Lastage,A04d
"1011EL",Lastage,A04d
"1011EM",Lastage,A04d
"1011EN",Nieuwmarkt,A04e
"1011ER",Lastage,A04d
"1011ES",Nieuwmarkt,A04e
"1011ET",Nieuwmarkt,A04e
"1011EV",Nieuwmarkt,A04e
"1011EW",Nieuwmarkt,A04e
"1011EX",Nieuwmarkt,A04e
"1011EZ",Nieuwmarkt,A04e
"1011GA",Nieuwmarkt,A04e
"1011GB",Nieuwmarkt,A04e
"1011GC",Nieuwmarkt,A04e
"1011GD",Nieuwmarkt,A04e
"1011GG",Nieuwmarkt,A04e
"1011GH",Nieuwmarkt,A04e
"1011GJ",Nieuwmarkt,A04e
"1011GK",Nieuwmarkt,A04e
"1011GL",Nieuwmarkt,A04e
"1011GM",Nieuwmarkt,A04e
"1011GN",Nieuwmarkt,A04e
"1011GP",Nieuwmarkt,A04e
"1011GR",Nieuwmarkt,A04e
"1011GS",Nieuwmarkt,A04e
"1011GT",Nieuwmarkt,A04e
"1011GV",Nieuwmarkt,A04e
"1011GW",Nieuwmarkt,A04e
"1011GX",Nieuwmarkt,A04e
"1011GZ",Nieuwmarkt,A04e
"1011HA",Nieuwmarkt,A04e
"1011HB",Nieuwmarkt,A04e
"1011HC",Zuiderkerkbuurt,A04h
"1011HD",Zuiderkerkbuurt,A04h
"1011HE",Zuiderkerkbuurt,A04h
"1011HG",Zuiderkerkbuurt,A04h
"1011HH",Zuiderkerkbuurt,A04h
"1011HJ",Zuiderkerkbuurt,A04h
"1011HK",Zuiderkerkbuurt,A04h
"1011HL",Zuiderkerkbuurt,A04h
"1011HM",Zuiderkerkbuurt,A04h
"1011HN",Zuiderkerkbuurt,A04h
"1011HP",Zuiderkerkbuurt,A04h
"1011HR",Zuiderkerkbuurt,A04h
"1011HS",Zuiderkerkbuurt,A04h
"1011HT",Zuiderkerkbuurt,A04h
"1011HV",Zuiderkerkbuurt,A04h
"1011HW",Zuiderkerkbuurt,A04h
"1011HX",Zuiderkerkbuurt,A04h
"1011HZ",Zuiderkerkbuurt,A04h
"1011JA",Zuiderkerkbuurt,A04h
"1011JB",Nieuwmarkt,A04e
"1011JC",Zuiderkerkbuurt,A04h
"1011JD",Zuiderkerkbuurt,A04h
"1011JE",Zuiderkerkbuurt,A04h
"1011JG",Zuiderkerkbuurt,A04h
"1011JH",Zuiderkerkbuurt,A04h
"1011JJ",Zuiderkerkbuurt,A04h
"1011JK",Zuiderkerkbuurt,A04h
"1011JL",Zuiderkerkbuurt,A04h
"1011JM",Zuiderkerkbuurt,A04h
"1011JN",Zuiderkerkbuurt,A04h
"1011JP",Nieuwmarkt,A04e
"1011JR",Nieuwmarkt,A04e
"1011JS",Nieuwmarkt,A04e
"1011JT",Zuiderkerkbuurt,A04h
"1011JV",Zuiderkerkbuurt,A04h
"1011JW",Zuiderkerkbuurt,A04h
"1011JX",Zuiderkerkbuurt,A04h
"1011JZ",Zuiderkerkbuurt,A04h
"1011KA",Zuiderkerkbuurt,A04h
"1011KB",Zuiderkerkbuurt,A04h
"1011KC",Zuiderkerkbuurt,A04h
"1011KD",Zuiderkerkbuurt,A04h
"1011KE",Zuiderkerkbuurt,A04h
"1011KH",Zuiderkerkbuurt,A04h
"1011KJ",Zuiderkerkbuurt,A04h
"1011KK",Zuiderkerkbuurt,A04h
"1011KM",Zuiderkerkbuurt,A04h
"1011KN",Zuiderkerkbuurt,A04h
"1011KP",Uilenburg,A04f
"1011KR",Uilenburg,A04f
"1011KS",Uilenburg,A04f
"1011KT",Uilenburg,A04f
"1011KV",Uilenburg,A04f
"1011KW",Uilenburg,A04f
"1011KX",Lastage,A04d
"1011KZ",Lastage,A04d
"1011LA",Lastage,A04d
"1011LB",Nieuwmarkt,A04e
"1011LC",Nieuwmarkt,A04e
"1011LD",Nieuwmarkt,A04e
"1011LE",Nieuwmarkt,A04e
"1011LH",Uilenburg,A04f
"1011LJ",Uilenburg,A04f
"1011LK",Uilenburg,A04f
"1011LL",Uilenburg,A04f
"1011LM",Uilenburg,A04f
"1011LN",Uilenburg,A04f
"1011LP",Uilenburg,A04f
"1011LR",Uilenburg,A04f
"1011LS",Uilenburg,A04f
"1011LT",Uilenburg,A04f
"1011LV",Uilenburg,A04f
"1011LW",Uilenburg,A04f
"1011LX",Uilenburg,A04f
"1011LZ",Uilenburg,A04f
"1011MA",Nieuwmarkt,A04e
"1011MB",Nieuwmarkt,A04e
"1011MC",Nieuwmarkt,A04e
"1011ME",Nieuwmarkt,A04e
"1011MG",Valkenburg,A04g
"1011MH",Valkenburg,A04g
"1011MJ",Valkenburg,A04g
"1011MK",Valkenburg,A04g
"1011ML",Valkenburg,A04g
"1011MN",Valkenburg,A04g
"1011MP",Valkenburg,A04g
"1011MR",Valkenburg,A04g
"1011MS",Waterloopleinbuurt,A04i
"1011MT",Valkenburg,A04g
"1011MV",Valkenburg,A04g
"1011MX",Uilenburg,A04f
"1011MZ",Uilenburg,A04f
"1011NA",Uilenburg,A04f
"1011NB",Uilenburg,A04f
"1011NC",Uilenburg,A04f
"1011ND",Uilenburg,A04f
"1011NE",Nieuwmarkt,A04e
"1011NG",Uilenburg,A04f
"1011NH",Uilenburg,A04f
"1011NK",Waterloopleinbuurt,A04i
"1011NM",Waterloopleinbuurt,A04i
"1011NN",Waterloopleinbuurt,A04i
"1011NP",Waterloopleinbuurt,A04i
"1011NR",Waterloopleinbuurt,A04i
"1011NS",Waterloopleinbuurt,A04i
"1011NV",Waterloopleinbuurt,A04i
"1011NX",Waterloopleinbuurt,A04i
"1011NZ",Waterloopleinbuurt,A04i
"1011PA",Waterloopleinbuurt,A04i
"1011PB",Waterloopleinbuurt,A04i
"1011PC",Waterloopleinbuurt,A04i
"1011PD",Waterloopleinbuurt,A04i
"1011PE",Waterloopleinbuurt,A04i
"1011PG",Waterloopleinbuurt,A04i
"1011PL",Waterloopleinbuurt,A04i
"1011PM",Waterloopleinbuurt,A04i
"1011PN",Waterloopleinbuurt,A04i
"1011PT",Waterloopleinbuurt,A04i
"1011PV",Waterloopleinbuurt,A04i
"1011PW",Waterloopleinbuurt,A04i
"1011PZ",Valkenburg,A04g
"1011RA",Waterloopleinbuurt,A04i
"1011RB",Waterloopleinbuurt,A04i
"1011RC",Waterloopleinbuurt,A04i
"1011RD",Waterloopleinbuurt,A04i
"1011RE",Waterloopleinbuurt,A04i
"1011RG",Waterloopleinbuurt,A04i
"1011RH",Waterloopleinbuurt,A04i
"1011RJ",Waterloopleinbuurt,A04i
"1011RK",Waterloopleinbuurt,A04i
"1011RL",Waterloopleinbuurt,A04i
"1011RM",Waterloopleinbuurt,A04i
"1011RN",Waterloopleinbuurt,A04i
"1011RP",Waterloopleinbuurt,A04i
"1011RR",Waterloopleinbuurt,A04i
"1011RS",Valkenburg,A04g
"1011RT",Valkenburg,A04g
"1011RV",Valkenburg,A04g
"1011RW",Valkenburg,A04g
"1011RX",Valkenburg,A04g
"1011RZ",Valkenburg,A04g
"1011SB",Valkenburg,A04g
"1011SC",Valkenburg,A04g
"1011SE",Valkenburg,A04g
"1011SG",Valkenburg,A04g
"1011SK",Valkenburg,A04g
"1011SM",Uilenburg,A04f
"1011SN",Valkenburg,A04g
"1011SP",Valkenburg,A04g
"1011SR",Valkenburg,A04g
"1011ST",Valkenburg,A04g
"1011SV",Valkenburg,A04g
"1011SW",Valkenburg,A04g
"1011SX",Valkenburg,A04g
"1011SZ",Valkenburg,A04g
"1011TA",Valkenburg,A04g
"1011TB",Rapenburg,A04c
"1011TC",Rapenburg,A04c
"1011TD",Rapenburg,A04c
"1011TE",Scheepvaarthuisbuurt,A04b
"1011TG",Rapenburg,A04c
"1011TJ",Rapenburg,A04c
"1011TK",Valkenburg,A04g
"1011TL",Rapenburg,A04c
"1011TM",Rapenburg,A04c
"1011TN",Rapenburg,A04c
"1011TP",Rapenburg,A04c
"1011TR",Rapenburg,A04c
"1011TS",Rapenburg,A04c
"1011TT",Rapenburg,A04c
"1011TV",Rapenburg,A04c
"1011TW",Rapenburg,A04c
"1011TX",Rapenburg,A04c
"1011TZ",Rapenburg,A04c
"1011VA",Rapenburg,A04c
"1011VB",Rapenburg,A04c
"1011VC",Valkenburg,A04g
"1011VD",Valkenburg,A04g
"1011VE",Valkenburg,A04g
"1011VG",Valkenburg,A04g
"1011VH",Valkenburg,A04g
"1011VJ",Valkenburg,A04g
"1011VK",Valkenburg,A04g
"1011VL",Valkenburg,A04g
"1011VM",Valkenburg,A04g
"1011VP",Uilenburg,A04f
"1011VR",Waterloopleinbuurt,A04i
"1011VS",Waterloopleinbuurt,A04i
"1011VT",Waterloopleinbuurt,A04i
"1011VW",Waterloopleinbuurt,A04i
"1011VX",Rapenburg,A04c
"1011VZ",Rapenburg,A04c
"1011WB",Zuiderkerkbuurt,A04h
"1011WC",Zuiderkerkbuurt,A04h
"1011WD",Zuiderkerkbuurt,A04h
"1011XA",Zuiderkerkbuurt,A04h
"1012AA",Stationsplein e.o.,A01a
"1012AB",Stationsplein e.o.,A01a
"1012AC",Kop Zeedijk,A00a
"1012AD",Kop Zeedijk,A00a
"1012AE",Kop Zeedijk,A00a
"1012AG",Kop Zeedijk,A00a
"1012AH",Kop Zeedijk,A00a
"1012AJ",Kop Zeedijk,A00a
"1012AK",Kop Zeedijk,A00a
"1012AL",Kop Zeedijk,A00a
"1012AM",Kop Zeedijk,A00a
"1012AN",Kop Zeedijk,A00a
"1012AP",Kop Zeedijk,A00a
"1012AR",Kop Zeedijk,A00a
"1012AS",Kop Zeedijk,A00a
"1012AT",Burgwallen Oost,A00c
"1012AV",Burgwallen Oost,A00c
"1012AW",Burgwallen Oost,A00c
"1012AX",Kop Zeedijk,A00a
"1012AZ",Kop Zeedijk,A00a
"1012BA",Kop Zeedijk,A00a
"1012BB",Burgwallen Oost,A00c
"1012BC",Burgwallen Oost,A00c
"1012BD",Burgwallen Oost,A00c
"1012BE",Burgwallen Oost,A00c
"1012BG",Burgwallen Oost,A00c
"1012BH",Kop Zeedijk,A00a
"1012BJ",Kop Zeedijk,A00a
"1012BK",Kop Zeedijk,A00a
"1012BL",Kop Zeedijk,A00a
"1012BM",Burgwallen Oost,A00c
"1012BN",Burgwallen Oost,A00c
"1012BP",Burgwallen Oost,A00c
"1012BR",Burgwallen Oost,A00c
"1012BS",Burgwallen Oost,A00c
"1012BT",Burgwallen Oost,A00c
"1012BV",Burgwallen Oost,A00c
"1012BW",Burgwallen Oost,A00c
"1012BX",Burgwallen Oost,A00c
"1012BZ",Burgwallen Oost,A00c
"1012CA",Burgwallen Oost,A00c
"1012CB",Burgwallen Oost,A00c
"1012CC",Burgwallen Oost,A00c
"1012CD",Burgwallen Oost,A00c
"1012CE",BG-terrein e.o.,A00e
"1012CG",BG-terrein e.o.,A00e
"1012CH",BG-terrein e.o.,A00e
"1012CJ",BG-terrein e.o.,A00e
"1012CK",BG-terrein e.o.,A00e
"1012CL",BG-terrein e.o.,A00e
"1012CM",BG-terrein e.o.,A00e
"1012CN",BG-terrein e.o.,A00e
"1012CP",BG-terrein e.o.,A00e
"1012CR",Burgwallen Oost,A00c
"1012CS",Burgwallen Oost,A00c
"1012CT",Burgwallen Oost,A00c
"1012CV",Burgwallen Oost,A00c
"1012CW",Burgwallen Oost,A00c
"1012CX",BG-terrein e.o.,A00e
"1012CZ",BG-terrein e.o.,A00e
"1012DA",Burgwallen Oost,A00c
"1012DB",Burgwallen Oost,A00c
"1012DC",Burgwallen Oost,A00c
"1012DD",Burgwallen Oost,A00c
"1012DE",Burgwallen Oost,A00c
"1012DG",Burgwallen Oost,A00c
"1012DH",BG-terrein e.o.,A00e
"1012DJ",BG-terrein e.o.,A00e
"1012DK",BG-terrein e.o.,A00e
"1012DL",BG-terrein e.o.,A00e
"1012DM",Kop Zeedijk,A00a
"1012DN",Burgwallen Oost,A00c
"1012DP",Burgwallen Oost,A00c
"1012DR",Burgwallen Oost,A00c
"1012DS",Burgwallen Oost,A00c
"1012DT",Burgwallen Oost,A00c
"1012DV",Burgwallen Oost,A00c
"1012DW",BG-terrein e.o.,A00e
"1012DX",BG-terrein e.o.,A00e
"1012DZ",Kop Zeedijk,A00a
"1012EA",Burgwallen Oost,A00c
"1012EB",Burgwallen Oost,A00c
"1012EC",Burgwallen Oost,A00c
"1012ED",BG-terrein e.o.,A00e
"1012EE",BG-terrein e.o.,A00e
"1012EG",BG-terrein e.o.,A00e
"1012EH",Kop Zeedijk,A00a
"1012EJ",Burgwallen Oost,A00c
"1012EK",Burgwallen Oost,A00c
"1012EL",Burgwallen Oost,A00c
"1012EM",Burgwallen Oost,A00c
"1012EN",Burgwallen Oost,A00c
"1012EP",Burgwallen Oost,A00c
"1012ER",Burgwallen Oost,A00c
"1012ES",Burgwallen Oost,A00c
"1012ET",Burgwallen Oost,A00c
"1012EV",Burgwallen Oost,A00c
"1012EW",BG-terrein e.o.,A00e
"1012EX",BG-terrein e.o.,A00e
"1012EZ",BG-terrein e.o.,A00e
"1012GA",Nes e.o.,A00d
"1012GB",Nes e.o.,A00d
"1012GC",BG-terrein e.o.,A00e
"1012GD",Kop Zeedijk,A00a
"1012GE",Oude Kerk e.o.,A00b
"1012GG",Oude Kerk e.o.,A00b
"1012GH",Oude Kerk e.o.,A00b
"1012GJ",Oude Kerk e.o.,A00b
"1012GK",Nes e.o.,A00d
"1012GL",Nes e.o.,A00d
"1012GM",Nes e.o.,A00d
"1012GN",Kop Zeedijk,A00a
"1012GP",Kop Zeedijk,A00a
"1012GR",Kop Zeedijk,A00a
"1012GS",Kop Zeedijk,A00a
"1012GT",Oude Kerk e.o.,A00b
"1012GV",Oude Kerk e.o.,A00b
"1012GW",Oude Kerk e.o.,A00b
"1012GX",Oude Kerk e.o.,A00b
"1012GZ",Oude Kerk e.o.,A00b
"1012HA",Oude Kerk e.o.,A00b
"1012HB",Oude Kerk e.o.,A00b
"1012HC",Oude Kerk e.o.,A00b
"1012HD",Oude Kerk e.o.,A00b
"1012HE",Oude Kerk e.o.,A00b
"1012HG",Oude Kerk e.o.,A00b
"1012HH",Oude Kerk e.o.,A00b
"1012HJ",Nes e.o.,A00d
"1012HK",Nes e.o.,A00d
"1012HL",Nes e.o.,A00d
"1012HM",Nes e.o.,A00d
"1012HN",Nes e.o.,A00d
"1012HP",Nes e.o.,A00d
"1012HR",Nes e.o.,A00d
"1012HS",Nes e.o.,A00d
"1012HT",Kop Zeedijk,A00a
"1012HV",Kop Zeedijk,A00a
"1012HW",Kop Zeedijk,A00a
"1012HX",Oude Kerk e.o.,A00b
"1012HZ",Oude Kerk e.o.,A00b
"1012JA",Oude Kerk e.o.,A00b
"1012JB",Oude Kerk e.o.,A00b
"1012JC",Oude Kerk e.o.,A00b
"1012JD",Kop Zeedijk,A00a
"1012JE",Kop Zeedijk,A00a
"1012JG",Kop Zeedijk,A00a
"1012JH",Oude Kerk e.o.,A00b
"1012JJ",Oude Kerk e.o.,A00b
"1012JK",Oude Kerk e.o.,A00b
"1012JL",Oude Kerk e.o.,A00b
"1012JM",Nes e.o.,A00d
"1012JN",Nieuwe Kerk e.o.,A01e
"1012JP",Kop Zeedijk,A00a
"1012JS",Oude Kerk e.o.,A00b
"1012JT",Oude Kerk e.o.,A00b
"1012JV",Oude Kerk e.o.,A00b
"1012JW",Oude Kerk e.o.,A00b
"1012JZ",BG-terrein e.o.,A00e
"1012KB",Begijnhofbuurt,A01g
"1012KC",Nes e.o.,A00d
"1012KD",Nes e.o.,A00d
"1012KE",Nes e.o.,A00d
"1012KG",Nes e.o.,A00d
"1012KJ",Nes e.o.,A00d
"1012KK",Nes e.o.,A00d
"1012KL",Nes e.o.,A00d
"1012KM",Nes e.o.,A00d
"1012KN",Nes e.o.,A00d
"1012KP",Nes e.o.,A00d
"1012KR",Begijnhofbuurt,A01g
"1012KS",Begijnhofbuurt,A01g
"1012KT",Begijnhofbuurt,A01g
"1012KV",Begijnhofbuurt,A01g
"1012KW",Begijnhofbuurt,A01g
"1012KX",Begijnhofbuurt,A01g
"1012KZ",Begijnhofbuurt,A01g
"1012LA",Begijnhofbuurt,A01g
"1012LB",Kalverdriehoek,A01h
"1012LC",Kalverdriehoek,A01h
"1012LD",Kalverdriehoek,A01h
"1012LE",Kalverdriehoek,A01h
"1012LG",Nieuwendijk Noord,A01c
"1012LH",Nieuwendijk Noord,A01c
"1012LJ",Nieuwendijk Noord,A01c
"1012LK",Nieuwe Kerk e.o.,A01e
"1012LL",Nieuwe Kerk e.o.,A01e
"1012LM",Nieuwe Kerk e.o.,A01e
"1012LN",Nieuwe Kerk e.o.,A01e
"1012LP",Nieuwe Kerk e.o.,A01e
"1012LR",Nieuwendijk Noord,A01c
"1012LS",Nieuwendijk Noord,A01c
"1012LT",Nieuwe Kerk e.o.,A01e
"1012LV",Nieuwe Kerk e.o.,A01e
"1012LW",Nieuwe Kerk e.o.,A01e
"1012LX",Nieuwe Kerk e.o.,A01e
"1012LZ",Hemelrijk,A01b
"1012MA",Hemelrijk,A01b
"1012MB",Nieuwendijk Noord,A01c
"1012MC",Nieuwendijk Noord,A01c
"1012MD",Nieuwendijk Noord,A01c
"1012ME",Nieuwe Kerk e.o.,A01e
"1012MG",Nieuwe Kerk e.o.,A01e
"1012MH",Nieuwe Kerk e.o.,A01e
"1012MJ",Nieuwendijk Noord,A01c
"1012MK",Hemelrijk,A01b
"1012ML",Hemelrijk,A01b
"1012MN",Hemelrijk,A01b
"1012MP",Nieuwendijk Noord,A01c
"1012MR",Nieuwendijk Noord,A01c
"1012MS",Nieuwe Kerk e.o.,A01e
"1012MT",Nieuwe Kerk e.o.,A01e
"1012MV",Nieuwe Kerk e.o.,A01e
"1012MX",Nieuwe Kerk e.o.,A01e
"1012MZ",Hemelrijk,A01b
"1012NA",Hemelrijk,A01b
"1012NB",Nieuwendijk Noord,A01c
"1012NC",Nieuwendijk Noord,A01c
"1012ND",Nieuwendijk Noord,A01c
"1012NE",Nieuwe Kerk e.o.,A01e
"1012NG",Nieuwe Kerk e.o.,A01e
"1012NH",Nieuwe Kerk e.o.,A01e
"1012NJ",Nieuwe Kerk e.o.,A01e
"1012NK",Nieuwe Kerk e.o.,A01e
"1012NL",Nieuwe Kerk e.o.,A01e
"1012NM",Nieuwe Kerk e.o.,A01e
"1012NN",Nieuwe Kerk e.o.,A01e
"1012NP",Nieuwe Kerk e.o.,A01e
"1012NR",Begijnhofbuurt,A01g
"1012NS",Begijnhofbuurt,A01g
"1012NT",Begijnhofbuurt,A01g
"1012NV",Begijnhofbuurt,A01g
"1012NW",Begijnhofbuurt,A01g
"1012NX",Begijnhofbuurt,A01g
"1012NZ",Begijnhofbuurt,A01g
"1012PA",Begijnhofbuurt,A01g
"1012PB",Begijnhofbuurt,A01g
"1012PC",Begijnhofbuurt,A01g
"1012PD",Begijnhofbuurt,A01g
"1012PE",Begijnhofbuurt,A01g
"1012PG",Begijnhofbuurt,A01g
"1012PH",Begijnhofbuurt,A01g
"1012PJ",Begijnhofbuurt,A01g
"1012PK",Begijnhofbuurt,A01g
"1012PL",Begijnhofbuurt,A01g
"1012PM",Begijnhofbuurt,A01g
"1012PN",Begijnhofbuurt,A01g
"1012PP",Begijnhofbuurt,A01g
"1012PR",Begijnhofbuurt,A01g
"1012PS",Nieuwendijk Noord,A01c
"1012PT",Nieuwendijk Noord,A01c
"1012PV",Nieuwe Kerk e.o.,A01e
"1012PW",Nieuwe Kerk e.o.,A01e
"1012PX",Nieuwe Kerk e.o.,A01e
"1012PZ",Nieuwe Kerk e.o.,A01e
"1012RA",Kop Zeedijk,A00a
"1012RB",Begijnhofbuurt,A01g
"1012RC",Nieuwendijk Noord,A01c
"1012RD",Nieuwe Kerk e.o.,A01e
"1012RE",Nieuwe Kerk e.o.,A01e
"1012RG",Nieuwe Kerk e.o.,A01e
"1012RH",Nieuwe Kerk e.o.,A01e
"1012RJ",Nieuwe Kerk e.o.,A01e
"1012RK",Begijnhofbuurt,A01g
"1012RL",Begijnhofbuurt,A01g
"1012RM",Begijnhofbuurt,A01g
"1012RN",Spuistraat Zuid,A01f
"1012RP",Spuistraat Zuid,A01f
"1012RR",Spuistraat Zuid,A01f
"1012RS",Spuistraat Zuid,A01f
"1012RT",Spuistraat Zuid,A01f
"1012RV",Spuistraat Zuid,A01f
"1012RW",Spuistraat Zuid,A01f
"1012RX",Spuistraat Zuid,A01f
"1012RZ",Hemelrijk,A01b
"1012SB",Hemelrijk,A01b
"1012SC",Spuistraat Noord,A01d
"1012SE",Spuistraat Noord,A01d
"1012SG",Spuistraat Noord,A01d
"1012SH",Spuistraat Noord,A01d
"1012SJ",Spuistraat Noord,A01d
"1012SK",Spuistraat Noord,A01d
"1012SL",Spuistraat Noord,A01d
"1012SM",Spuistraat Noord,A01d
"1012SN",Hemelrijk,A01b
"1012SP",Hemelrijk,A01b
"1012SR",Spuistraat Noord,A01d
"1012ST",Spuistraat Noord,A01d
"1012SV",Spuistraat Noord,A01d
"1012SW",Hemelrijk,A01b
"1012SX",Hemelrijk,A01b
"1012SZ",Hemelrijk,A01b
"1012TA",Hemelrijk,A01b
"1012TB",Hemelrijk,A01b
"1012TC",Spuistraat Noord,A01d
"1012TD",Spuistraat Noord,A01d
"1012TE",Spuistraat Noord,A01d
"1012TG",Spuistraat Noord,A01d
"1012TH",Spuistraat Noord,A01d
"1012TJ",Spuistraat Noord,A01d
"1012TK",Hemelrijk,A01b
"1012TL",Hemelrijk,A01b
"1012TM",Hemelrijk,A01b
"1012TN",Nieuwendijk Noord,A01c
"1012TP",Hemelrijk,A01b
"1012TR",Hemelrijk,A01b
"1012TS",Hemelrijk,A01b
"1012TT",Spuistraat Noord,A01d
"1012TV",Spuistraat Noord,A01d
"1012TW",Spuistraat Noord,A01d
"1012TX",Spuistraat Noord,A01d
"1012TZ",Spuistraat Noord,A01d
"1012VA",Spuistraat Noord,A01d
"1012VB",Spuistraat Noord,A01d
"1012VC",Hemelrijk,A01b
"1012VD",Spuistraat Noord,A01d
"1012VE",Spuistraat Noord,A01d
"1012VG",Spuistraat Noord,A01d
"1012VH",Spuistraat Noord,A01d
"1012VJ",Spuistraat Noord,A01d
"1012VK",Spuistraat Noord,A01d
"1012VM",Spuistraat Zuid,A01f
"1012VN",Spuistraat Zuid,A01f
"1012VP",Spuistraat Zuid,A01f
"1012VR",Spuistraat Zuid,A01f
"1012VS",Spuistraat Zuid,A01f
"1012VT",Spuistraat Zuid,A01f
"1012VV",Spuistraat Zuid,A01f
"1012VW",Spuistraat Zuid,A01f
"1012VX",Spuistraat Zuid,A01f
"1012VZ",Spuistraat Zuid,A01f
"1012WB",Spuistraat Zuid,A01f
"1012WC",Spuistraat Zuid,A01f
"1012WE",Spuistraat Zuid,A01f
"1012WG",Spuistraat Zuid,A01f
"1012WH",Spuistraat Zuid,A01f
"1012WJ",Spuistraat Zuid,A01f
"1012WK",Spuistraat Zuid,A01f
"1012WL",Spuistraat Zuid,A01f
"1012WN",Spuistraat Zuid,A01f
"1012WP",Kalverdriehoek,A01h
"1012WR",Kalverdriehoek,A01h
"1012WS",Begijnhofbuurt,A01g
"1012WT",Begijnhofbuurt,A01g
"1012WV",Begijnhofbuurt,A01g
"1012WX",Kalverdriehoek,A01h
"1012WZ",Begijnhofbuurt,A01g
"1012XA",Spuistraat Zuid,A01f
"1012XB",Kalverdriehoek,A01h
"1012XC",Kalverdriehoek,A01h
"1012XD",Begijnhofbuurt,A01g
"1012XE",Kalverdriehoek,A01h
"1012XG",Kalverdriehoek,A01h
"1012XH",Kalverdriehoek,A01h
"1012XJ",Kalverdriehoek,A01h
"1012XK",Kalverdriehoek,A01h
"1012XL",Kalverdriehoek,A01h
"1012XM",Kalverdriehoek,A01h
"1012XN",Kalverdriehoek,A01h
"1012XP",Kalverdriehoek,A01h
"1012XR",Kalverdriehoek,A01h
"1012XS",Kalverdriehoek,A01h
"1012XT",BG-terrein e.o.,A00e
"1012XW",Nieuwe Kerk e.o.,A01e
"1012XX",BG-terrein e.o.,A00e
"1012XZ",Nieuwe Kerk e.o.,A01e
"1012ZA",BG-terrein e.o.,A00e
"1012ZD",BG-terrein e.o.,A00e
"1012ZE",BG-terrein e.o.,A00e
"1012ZG",BG-terrein e.o.,A00e
"1012ZH",Oude Kerk e.o.,A00b
"1012ZJ",Oude Kerk e.o.,A00b
"1012ZK",Nieuwe Kerk e.o.,A01e
"1012ZL",Spuistraat Zuid,A01f
"1013AA",Westerdokseiland,A05a
"1013AB",Westerdokseiland,A05a
"1013AC",Coenhaven/Mercuriushaven,B10a
"1013AD",Westerdokseiland,A05a
"1013AE",Westerdokseiland,A05a
"1013AG",Haarlemmerbuurt Oost,A05b
"1013AK",Houthavens West,E12a
"1013AL",Houthavens Oost,E12b
"1013AM",Coenhaven/Mercuriushaven,B10a
